headline,author,source,date,wordcount,permalink,decade
How S'pore can be developed nation in 10 years: Prof Lim,,Straits Times,16-Oct-77,890,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771016-1.2.39.aspx,70
ONE MAN'S WEEK,Lim Chong Yah,Business Times,24-Oct-77,2513,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19771024-1.2.15.5.aspx,70
Facts and fallacies about S'pore economy,Lim Chong Yah,Straits Times,25-Oct-77,1980,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771025-1.2.83.aspx,70
Something money cannot buy…,,New Nation,17-Dec-77,378,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/newnation19771217-1.2.18.aspx,70
higher education is aimed at meeting needs of nation,,Sunday Times,18-Dec-77,820,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771218-1.2.23.aspx,70
Higher education is aimed at meeting needs of nation: Lim,,Straits Times,18-Dec-77,820,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771218-1.2.23.aspx,70
Bridging cultural gap with Japan,,Business Times,19-Dec-77,997,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19771219-1.2.14.5.aspx,70
Call to boost use of second tongues,,Straits Times,15-May-78,502,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19780515-1.2.65.aspx,70
NWC GUIDELINES,,Straits Times,30-Jun-78,1724,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19780630-1.2.72.aspx,70
Singapore likely to enjoy more trade,Ngiam tong Hai and George Joseph,Straits times,18-Dec-78,625,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19781218-1.2.32.aspx,70
Waiting game and the late start dinners,,The Sunday Times,21-Jan-79,453,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790121-1.2.27.aspx,70
New economic order and commodities,Romana S.Tan,Business Times,27-Jan-79,1511,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19790127-1.2.22.aspx ,70
Asean urged to back Samrin regime if…,,St Times,5-Feb-79,298,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790205-1.2.73.aspx,70
S'pore growth world's second for 1960 to 1976,,Straits times,27-Mar-79,334,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790327-1.2.96.aspx,70
The dilemma of cooperation,,Business Times,27-Mar-79,452,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19790327-1.2.50.aspx,70
Review policy for new stage of economic development,,The Straits Times,7-Apr-79,636,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790407-1.2.48.aspx,70
Prof on effect of China's modernisation,,Straits Times,14-Apr-79,326,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790418-1.2.129.14.aspx,70
Will Mrs Thatcher fulfil her electors' hopes?,,Straits Times,15-May-79,849,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790515-1.2.92.aspx,70
Cheap Labour must go,Irene Ngoo,The Sunday Times,10-Jun-79,461,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19790610-1.2.3.aspx,70
Political role for Japan in S-E Asia,,Business Times ,27-Sep-79,470,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19790927-1.2.52.aspx,70
Unions urged: Maintain industrial harmony,,Straits Times,3-Nov-79,264,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791103-1.2.10.aspx,70
Unions' key role in years ahead,,Straits Times,8-Nov-79,510,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791103-1.2.81.aspx,70
Forecast of 9.5 pc growth for Singapore,,Straits Times,7-Dec-79,577,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791207-1.2.80.aspx,70
Mood of confidence Singapore's economic development,,Business Times,7-Dec-79,3290,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19791207-1.2.27.aspx,70
